return_code,avg_bits_per_value,avg_exceptions_per_vector,kernel,compressor,file,n_bytes,duration_ms,compression_ratio,data_type,n_vecs,sample_run
0,"","",decompression_query,Thrust,gov30,209715200,5.234368,1.000000,f64,25600,8
0,"","",decompression_query,LZ4,gov10,209715200,46.773407,1.682712,f64,25600,4
0,"","",decompression_query,zstd,gov26,209715200,6.831744,302.781868,f64,25600,7
0,"","",decompression,Deflate,gov30,209715200,195.623398,4.972810,f64,25600,8
0,"","",decompression_query,Snappy,Telco-159-total_outgoing_min_p4,104857600,15.498240,1.357695,f32,25600,8
0,"","",decompression_query,Bitcomp,neon_air_pressure,209715200,8.142016,1.380944,f64,25600,9
0,11.586641,10.081367,decompression,GALP,MedPaymenT1-8-line_srvc_cnt,104857600,1.072256,2.536885,f32,25600,4
0,"","",decompression_query,LZ4,neon_dew_point_temp,209715200,40.813377,1.944677,f64,25600,5
0,"","",decompression_query,Deflate,Telco-159-total_outgoing_min_p4,104857600,111.526878,1.493537,f32,25600,7
0,"","",decompression_query,zstd,medicare9,209715200,86.951454,4.164827,f64,25600,2
0,"","",decompression_query,Deflate,medicare1,209715200,221.042816,1.187978,f64,25600,5
0,40.405234,7.715742,decompression,ALP,cms25,209715200,2.842304,1.557406,f64,25600,10
0,0.000000,39.839922,decompression,ALP,astro_mhd_f64,209715200,2.144736,20.009809,f64,25600,4
0,"","",decompression_query,BitcompSparse,Telco-158-total_outgoing_min_p3,104857600,2.586624,1.183849,f32,25600,2
0,"","",decompression_query,Thrust,neon_bio_temp_c,209715200,5.047808,1.000000,f64,25600,1
0,"","",decompression_query,Bitcomp,bird_migration_f,209715200,7.311264,1.017453,f64,25600,8
0,"","",decompression,BitcompSparse,gov26,209715200,1.532160,122.359970,f64,25600,9
0,"","",decompression_query,BitcompSparse,ssd_hdd_benchmarks_f,209715200,4.350624,0.998294,f64,25600,8
0,"","",decompression,zstd,stocks_uk,209715200,90.583138,5.896866,f64,25600,5
0,"","",decompression_query,Deflate,arade4,209715200,226.781082,1.072136,f64,25600,8
0,"","",decompression_query,Snappy,city_temperature_f,209715200,35.890881,2.406453,f64,25600,9
0,"","",decompression_query,GDeflate,Telco-110-rechrg_total_load_p1,104857600,17.273279,2.008773,f32,25600,4
0,9.376016,170.870898,decompression_query,GALP,Telco-35-free_mins_p3,104857600,0.760416,1.783696,f32,25600,10
0,"","",decompression_query,BitcompSparse,neon_air_pressure,209715200,4.374528,0.998294,f64,25600,4
0,39.731758,7.102695,decompression,ALP,nyc29,209715200,2.828160,1.585234,f64,25600,2
0,"","",decompression,Bitcomp,Telco-112-rechrg_total_load_p3,104857600,3.143136,1.290011,f32,25600,2
0,28.051914,143.778828,decompression,ALP,medicare1,209715200,6.919808,1.625580,f64,25600,2
0,"","",decompression_query,zstd,gov10,209715200,101.333824,2.297688,f64,25600,2
0,"","",decompression_query,Thrust,Telco-157-total_outgoing_min_p2,104857600,4.650016,1.000000,f32,25600,2
0,"","",decompression,zstd,Telco-153-total_mins_p3,104857600,36.900959,1.683130,f32,25600,1
0,"","",decompression,GDeflate,ssd_hdd_benchmarks_f,209715200,33.250721,1.934511,f64,25600,9
0,"","",decompression_query,LZ4,spain_gas_price_f64,209715200,39.569118,2.884484,f64,25600,4
0,"","",decompression_query,Deflate,medicare1,209715200,220.003845,1.187978,f64,25600,1
0,11.583555,10.088711,decompression,GALP,Physicians-8-line_srvc_cnt,104857600,1.073472,2.537437,f32,25600,8
0,"","",decompression_query,Thrust,medicare9,209715200,5.189376,1.000000,f64,25600,1
0,"","",decompression_query,Snappy,medicare1,209715200,48.540417,1.653249,f64,25600,6
0,"","",decompression_query,GDeflate,Telco-159-total_outgoing_min_p4,104857600,17.602272,1.487162,f32,25600,4
0,"","",decompression_query,GDeflate,bitcoin_transactions_f,209715200,35.594624,1.060843,f64,25600,7
0,"","",decompression,LZ4,neon_bio_temp_c,209715200,38.762241,2.314682,f64,25600,9
0,11.583555,10.088711,decompression_query,ALP,Physicians-8-line_srvc_cnt,104857600,1.405344,2.642193,f32,25600,6
0,"","",decompression_query,BitcompSparse,Telco-171-total_outgoing_rev_p1,104857600,2.299680,1.004884,f32,25600,2
0,0.006680,11.544180,decompression_query,ALP,gov40,209715200,1.551872,64.353544,f64,25600,10
0,"","",decompression_query,Snappy,arade4,209715200,75.772194,1.269186,f64,25600,10
0,"","",decompression,Deflate,Telco-35-free_mins_p3,104857600,110.217316,2.230585,f32,25600,4
0,"","",decompression_query,zstd,stocks_uk,209715200,92.999268,5.896866,f64,25600,3
0,9.858984,0.204453,decompression,GALP,neon_bio_temp_c,209715200,1.798720,6.267815,f64,25600,10
0,"","",decompression_query,BitcompSparse,neon_bio_temp_c,209715200,4.348384,0.998358,f64,25600,1
0,"","",decompression_query,Deflate,Telco-152-total_mins_p2,104857600,112.454369,1.286959,f32,25600,10
0,"","",decompression,Snappy,bitcoin_f,209715200,35.979519,2.270030,f64,25600,7
0,16.052305,0.114687,decompression,ALP,ssd_hdd_benchmarks_f,209715200,2.067168,3.963535,f64,25600,10
0,"","",decompression,Snappy,gov26,209715200,8.827648,19.843510,f64,25600,5
0,"","",decompression_query,Deflate,bird_migration_f,209715200,222.334915,1.107858,f64,25600,4
0,"","",decompression,zstd,bird_migration_f,209715200,84.090302,2.865334,f64,25600,9
0,"","",decompression,Deflate,stocks_de,209715200,216.715805,1.346703,f64,25600,1
0,"","",decompression,Snappy,Telco-113-rechrg_total_load_p4,104857600,29.726015,2.334206,f32,25600,10
0,"","",decompression_query,zstd,Telco-112-rechrg_total_load_p3,104857600,45.385696,3.161956,f32,25600,5
0,"","",decompression_query,BitcompSparse,gov10,209715200,5.590912,1.105199,f64,25600,1
0,15.237070,106.891445,decompression,ALP,Telco-153-total_mins_p3,104857600,4.071776,1.576177,f32,25600,6
0,"","",decompression_query,GDeflate,medicare1,209715200,35.219070,1.183954,f64,25600,10
0,11.583555,10.088711,decompression_query,ALP,Physicians-8-line_srvc_cnt,104857600,1.411488,2.642193,f32,25600,7
